Название товара,Цена,Ссылка
Свинина тушеная Йола высший сорт 325 г,"Цена за 1 шт.
248,00",https://kuper.ru/metro/svinina-tushenaya-yola-vysshiy-sort-325-g-a186f6b?sid=1
Говядина тушеная Семейный бюджет в собственном соку 500 г,"Цена за 1 шт.
282,00",https://kuper.ru/metro/govyadina-tushenaya-semeynyy-byudzhet-v-sobstvennom-soku-500-g-beba25c?sid=1
Говядина тушеная Слонимский МК 338 г,"Цена за 1 шт.
479,00",https://kuper.ru/metro/govyadina-tushenaya-slonimskiy-mk-338-g?sid=1
Говядина тушеная Главпродукт экстра в собственном соку 338 г,"Цена за 1 шт.
389,00",https://kuper.ru/metro/govyadina-tushenaya-glavprodukt-ekstra-v-sobstvennom-soku-338-g-9915527?sid=1
Свинина тушеная Батькин Резерв 525 г,"Цена без скидки за 1 шт.
499,00",https://kuper.ru/metro/svinina-tushenaya-bat-kin-rezerv-525-g-3b1c25e?sid=1
Говядина тушеная Батькин Резерв 338 г,"Цена без скидки за 1 шт.
479,00",https://kuper.ru/metro/govyadina-tushenaya-bat-kin-rezerv-338-g-a13e527?sid=1
Ветчина Главпродукт Для гурманов 325 г,"Цена за 1 шт.
319,00",https://kuper.ru/metro/vetchina-glavprodukt-dlya-gurmanov-325-g-ea9e9cd?sid=1
Говядина тушеная Батькин Резерв высший сорт 525 г,"Цена за 1 шт.
699,00",https://kuper.ru/metro/govyadina-tushenaya-bat-kin-rezerv-vysshiy-sort-525-g-6ead957?sid=1
Говядина тушеная Березовский мясоконсервный комбинат в...,"Цена за 1 шт.
449,00",https://kuper.ru/metro/govyadina-tushenaya-berezovskiy-myasokonservnyy-kombinat-v-sobstvennom-soku-338-g?sid=1
Говядина тушеная Главпродукт Люкс 338 г,"Цена за 1 шт.
319,00",https://kuper.ru/metro/govyadina-tushenaya-glavprodukt-lyuks-338-g-a4fa6a5?sid=1
Мясо цыпленка Батькин Резерв в собственном соку 350 г,"Цена за 1 шт.
296,00",https://kuper.ru/metro/myaso-tsyplenka-bat-kin-rezerv-v-sobstvennom-soku-350-g-cf35c63?sid=1
Говядина тушеная Батькин Резерв в собственном соку 338 г,"Цена без скидки за 1 шт.
409,00",https://kuper.ru/metro/govyadina-tushenaya-bat-kin-rezerv-v-sobstvennom-soku-338-g-79e7281?sid=1
Шейка свиная тушеная Батькин Резерв 525 г,"Цена без скидки за 1 шт.
519,00",https://kuper.ru/metro/sheyka-svinaya-tushenaya-bat-kin-rezerv-525-g-1d9462b?sid=1
